# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant
ABCB6	ABCB6	NM_005689.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCB7	ABCB7	NM_001271696.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB7	ABCB7	NM_001271697.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB7	ABCB7	NM_001271698.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB7	ABCB7	NM_001271699.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB7	ABCB7	NM_004299.6	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB8	ABCB8	NM_001282291.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ABCB8	NM_001282292.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ABCB8	NM_001282293.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ABCB8	NM_007188.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_001243013.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_001243014.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_019624.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_019625.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_203444.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC10	ABCC10	NM_001198934.2	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
ABCC10	ABCC10	NM_001350518.2	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
ABCC10	ABCC10	NM_033450.2	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
ABCC10	ABCC10	NR_146762.2		0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
ABCC11	ABCC11	NM_001370496.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_001370497.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_032583.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_033151.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_145186.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	ABCC12	NM_033226.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC13	ABCC13	NR_003087.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC13	ABCC13	NR_003088.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC2	ABCC2	NM_000392.5	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCC3	ABCC3	NM_003786.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001105515.3	protein_coding	0	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301829.2	protein_coding	0	0	0	25	1	0	0	0	24	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301830.2	protein_coding	0	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_005845.4	protein_coding	0	0	0	25	1	0	0	0	24	0	0	0	0	0	0	0	0
ABCC5	ABCC5	NM_001023587.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC5	ABCC5	NM_001320032.2	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCC5	ABCC5	NM_005688.4	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCC5	ABCC5	NR_135125.2		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NM_000352.5	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NM_001287174.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NM_001351295.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NM_001351296.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NM_001351297.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NR_147094.2		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_005691.3	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_020297.3	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0
ABCD2	ABCD2	NM_005164.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCD3	ABCD3	NM_001122674.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCD3	ABCD3	NM_002858.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_004915.3	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_016818.2	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207174.1	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207627.1	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207628.1	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207629.1	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001257386.2	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348985.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348986.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348987.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348988.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_001348989.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_004827.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG4	ABCG4	NM_001142505.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCG4	ABCG4	NM_001348191.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCG4	ABCG4	NM_001348192.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCG4	ABCG4	NM_022169.5	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCG8	ABCG8	NM_001357321.2	protein_coding	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0
ABCG8	ABCG8	NM_022437.3	protein_coding	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0
ABHD12	ABHD12	NM_001042472.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABHD12	ABHD12	NM_015600.5	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ABHD12B	ABHD12B	NM_001206673.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABHD12B	ABHD12B	NM_181533.3	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABHD12B	ABHD12B	NM_181814.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABHD15	ABHD15	NM_198147.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABHD17A	ABHD17A	NM_001130111.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD17A	ABHD17A	NM_031213.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD17B	ABHD17B	NM_001025780.2	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ABHD17B	ABHD17B	NM_016014.3	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ABHD17C	ABHD17C	NM_021214.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001039717.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001319305.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001319306.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001319307.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001358451.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001358454.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366037.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366038.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366039.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366040.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366041.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366042.2	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366043.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366044.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366045.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366046.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366047.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366048.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_025097.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD2	ABHD2	NM_007011.8	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABHD2	ABHD2	NM_152924.5	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABHD4	ABHD4	NM_022060.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD6	ABHD6	NM_001320126.2	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABHD6	ABHD6	NM_020676.6	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0
ABI2	ABI2	NM_001282925.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	ABI2	NM_001282926.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	ABI2	NM_005759.6	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349329.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349330.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349331.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349332.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001365642.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001365643.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_015429.3	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABL1	ABL1	NM_007313.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001136000.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001136001.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168236.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168237.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168238.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168239.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_005158.5	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_007314.4	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001003407.2	protein_coding	0	0	0	10	1	0	0	0	9	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322882.2	protein_coding	0	0	0	10	1	0	0	0	9	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322883.2	protein_coding	0	0	0	10	1	0	0	0	9	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322884.3	protein_coding	0	0	0	11	1	0	0	0	10	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322885.3	protein_coding	0	0	0	11	1	0	0	0	10	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322886.3	protein_coding	0	0	0	11	1	0	0	0	10	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322887.2	protein_coding	0	0	0	10	1	0	0	0	9	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322888.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322889.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322890.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322891.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322892.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322893.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322894.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322895.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322896.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_001322897.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
